id,fips,stname,st_code,year,temp_farenheit,temp_celcius
456,6,California, CA,1976,57.475,14.15277778
457,6,California, CA,1977,57.975,14.43055556
458,6,California, CA,1978,57.60833333,14.22685185
459,6,California, CA,1979,57.66666667,14.25925926
460,6,California, CA,1980,58.075,14.48611111
461,6,California, CA,1981,59.3,15.16666667
462,6,California, CA,1982,56.34166667,13.52314815
463,6,California, CA,1983,57.55,14.19444444
464,6,California, CA,1984,58.21666667,14.56481481
465,6,California, CA,1985,57.325,14.06944444
466,6,California, CA,1986,58.875,14.93055556
467,6,California, CA,1987,58.275,14.59722222
468,6,California, CA,1988,58.75,14.86111111
469,6,California, CA,1989,58.10833333,14.50462963
470,6,California, CA,1990,57.96666667,14.42592593
471,6,California, CA,1991,58.13333333,14.51851852
472,6,California, CA,1992,59.26666667,15.14814815
473,6,California, CA,1993,57.65833333,14.25462963
474,6,California, CA,1994,58.00833333,14.44907407
475,6,California, CA,1995,58.93333333,14.96296296
476,6,California, CA,1996,59.55833333,15.31018519
477,6,California, CA,1997,59.11666667,15.06481481
478,6,California, CA,1998,56.70833333,13.72685185
479,6,California, CA,1999,57.95833333,14.4212963
480,6,California, CA,2000,58.8,14.88888889
481,6,California, CA,2001,59.11666667,15.06481481
482,6,California, CA,2002,58.85,14.91666667
483,6,California, CA,2003,59.425,15.23611111
484,6,California, CA,2004,58.85833333,14.9212963
485,6,California, CA,2005,58.6,14.77777778
486,6,California, CA,2006,58.64166667,14.80092593
487,6,California, CA,2007,58.925,14.95833333
488,6,California, CA,2008,58.91666667,14.9537037
489,6,California, CA,2009,58.83333333,14.90740741
490,6,California, CA,2010,57.725,14.29166667
491,6,California, CA,2011,57.43333333,14.12962963
492,6,California, CA,2012,59.50833333,15.28240741
493,6,California, CA,2013,59.31666667,15.17592593
494,6,California, CA,2014,61.45,16.36111111
495,6,California, CA,2015,60.75833333,15.97685185
496,6,California, CA,2016,60.13333333,15.62962963
497,6,California, CA,2017,60.34166667,15.74537037
498,6,California, CA,2018,60.125,15.625
499,6,California, CA,2019,58.375,14.65277778
500,8,Colorado, CO,1895,42.43333333,5.796296296
501,8,Colorado, CO,1896,44.875,7.152777778
502,8,Colorado, CO,1897,44.03333333,6.685185185
503,8,Colorado, CO,1898,42.71666667,5.953703704
504,8,Colorado, CO,1899,43.16666667,6.203703704
505,8,Colorado, CO,1900,45.40833333,7.449074074
506,8,Colorado, CO,1901,45.10833333,7.282407407
507,8,Colorado, CO,1902,44.69166667,7.050925926
508,8,Colorado, CO,1903,42.79166667,5.99537037
509,8,Colorado, CO,1904,44.73333333,7.074074074
510,8,Colorado, CO,1905,43.49166667,6.384259259
511,8,Colorado, CO,1906,43.95833333,6.643518519
512,8,Colorado, CO,1907,45.125,7.291666667
513,8,Colorado, CO,1908,43.625,6.458333333
514,8,Colorado, CO,1909,43.3,6.277777778
515,8,Colorado, CO,1910,46.1,7.833333333
516,8,Colorado, CO,1911,44.4,6.888888889
517,8,Colorado, CO,1912,41.78333333,5.435185185
518,8,Colorado, CO,1913,42.80833333,6.00462963
519,8,Colorado, CO,1914,44.40833333,6.893518519
520,8,Colorado, CO,1915,43.15833333,6.199074074
521,8,Colorado, CO,1916,43.48333333,6.37962963
522,8,Colorado, CO,1917,42.90833333,6.060185185
523,8,Colorado, CO,1918,43.76666667,6.537037037
524,8,Colorado, CO,1919,43.25833333,6.25462963
525,8,Colorado, CO,1920,43.19166667,6.217592593
526,8,Colorado, CO,1921,46,7.777777778
527,8,Colorado, CO,1922,44.15833333,6.75462963
528,8,Colorado, CO,1923,43.225,6.236111111
529,8,Colorado, CO,1924,42.675,5.930555556
530,8,Colorado, CO,1925,44.64166667,7.023148148
531,8,Colorado, CO,1926,44.66666667,7.037037037
532,8,Colorado, CO,1927,44.525,6.958333333
